year,km,color,price
2025,69000.0,White,2095000
2024,28500.0,Black,2280000
2024,50000.0,White,2090000
2024,42000.0,White,2180000
2024,15000.0,White,2300000
2024,36326.0,White,2155000
2024,16500.0,Blue,2300000
2024,13500.0,White,2280000
2024,34000.0,Silver Gray,2350000
2024,32000.0,White,2075000
2024,14550.0,White,2290000
2024,31000.0,Burgundy,2325000
2024,15000.0,White,2239750
2025,33000.0,Black,2165000
2025,39066.0,White,2209750
2024,44000.0,Blue,2225000
2025,9000.0,White,2395000
2024,26000.0,White,1835000
2024,55000.0,White,2125000
2025,6001.0,Smoke Gray,2700000
2025,17000.0,White,2300000
2024,41500.0,White,2300000
2024,47500.0,White,1880000
2024,73000.0,Blue,2140000
2024,29700.0,White,2280000
2024,45000.0,White,2120000
2024,62000.0,White,1995000
2025,26000.0,White,2185000
2024,13500.0,Black,2390000
2025,30000.0,White,2159000
2025,35523.0,Gray,2125000
2024,12800.0,White,2300000
2024,32934.0,Black,2225000
2024,53000.0,White,2099000
2024,30000.0,White,2400000
2024,28500.0,White,2199000
2024,17000.0,White,1899750
2024,26000.0,White,2225000
2024,30000.0,Black,2280000
2024,38000.0,White,1950000
2024,20500.0,White,2250000
2024,20000.0,White,2435500
2025,25680.0,White,2225000
2024,46000.0,Blue,2150000
2024,24000.0,White,2275000
2024,41500.0,Blue,2210000
2024,38000.0,White,1990000
2024,45350.0,Navy Blue,2189000
2024,34000.0,White,2125000
2024,36000.0,White,2190000
2024,27000.0,White,2350000
2025,18000.0,White,2250000
2024,6010.0,Black,2490000
2024,36500.0,White,2325000
2024,24500.0,White,2435000
2024,38980.0,White,2110000
2025,23000.0,White,2495000
2024,33000.0,White,2249990
2024,61500.0,White,2098500
2024,22000.0,White,2220000
2025,15070.0,Black,2251000
2024,29500.0,White,2195000
2024,23000.0,White,2250000
2024,64000.0,White,2150000
2024,33000.0,White,2110000
2024,24700.0,White,2185000
2024,44000.0,White,2050000
2024,13500.0,White,2336000
2024,39000.0,White,2320000
2024,18000.0,Blue,2300000
2024,17000.0,White,2329000
2024,22000.0,White,2200000
2024,51000.0,White,2185000
2024,49000.0,White,2185000
2025,16500.0,White,2400000
2024,10124.0,White,2275000
2025,41500.0,Black,2180000
2024,6001.0,White,2390000
2025,18600.0,White,2350000
2025,15000.0,White,2450000
2024,31000.0,White,2165000
2024,27500.0,White,2189750
2024,33850.0,Black,2125000
2025,28000.0,Black,2225000
2024,25430.0,White,2230000
2024,63000.0,White,2085000
2024,33000.0,White,2160000
2024,43500.0,White,2065000
2024,33000.0,White,2200000
2024,49500.0,White,2135000
2024,29300.0,Black,2280000
2024,6001.0,White,2490000
2025,39000.0,White,2199900
2024,34000.0,White,2240000
2024,25000.0,White,2185000
2024,20000.0,Navy Blue,2270000
2024,75000.0,White,2010000
2024,38500.0,White,2150000
2024,39000.0,Navy Blue,2455000
2025,14980.0,Black,2285000
2024,45000.0,White,2035000
2024,6001.0,Black,2520000
2024,23000.0,Blue,2339000
2025,19960.0,White,2350000
2024,28000.0,White,2145000
2024,15000.0,Black,2298000
2024,49000.0,White,2195000
2024,21000.0,Blue,2350000
2024,23500.0,White,2215000
2024,28000.0,White,2150000
2024,37000.0,White,2100000
2024,24000.0,Black,2125000
2024,23000.0,White,2239000
2025,15000.0,White,2450000
2024,29000.0,White,2220000
2025,37000.0,Black,2165000
2024,49500.0,White,2290000
2024,48000.0,White,2249900
2024,54000.0,White,2170000
2024,15400.0,White,2250000
2024,20000.0,White,2180000
2024,16000.0,White,2375000
2024,43000.0,Navy Blue,2200000
2024,25000.0,Burgundy,2300000
2024,29500.0,Black,2220000
2025,31355.0,Black,2270000
2025,20000.0,Black,2250000
2025,19200.0,Black,2350000
2025,6001.0,White,2520000
2024,34000.0,Black,2199000
2024,27000.0,White,2130000
2024,27224.0,White,2190000
2024,30150.0,Black,2289000
2024,19500.0,White,2199000
2024,41090.0,White,2150000
2024,24790.0,Black,2295000
2025,8700.0,White,2435000
2025,16625.0,White,2350000
2024,49500.0,White,2079000
2024,12000.0,Black,2209000
2024,6001.0,Black,2425000
2024,7650.0,White,2350000
2024,15000.0,Burgundy,2285750
2024,55000.0,White,2029000
2024,25100.0,Black,2175000
2024,110000.0,White,2040000
2024,13000.0,White,2349000
2024,35000.0,White,1999999
2025,12100.0,White,2385000
2024,33500.0,White,2240000
2024,28400.0,Blue,2325000
2024,39000.0,White,2269900
2024,35500.0,White,2180000
2024,17500.0,White,2385000
2024,50000.0,White,2120000
2024,35000.0,White,2049999
2025,29000.0,White,2215000
2024,33000.0,White,2195990
2025,41200.0,White,2400000
2024,39500.0,Navy Blue,2257500
2024,40000.0,White,2235000
2024,10000.0,White,2490000
2024,12000.0,White,2400000
2024,41250.0,Burgundy,2279000
2024,56000.0,White,2100000
2025,27100.0,White,2320000
2024,35000.0,Silver Gray,2160000
2024,25000.0,White,2250000
2024,33000.0,White,2200000
2024,26200.0,White,2325000
2025,30000.0,White,3100000
2024,21000.0,White,2179000
2024,29650.0,White,2125000
2025,7300.0,White,1955000
2024,17000.0,White,2300000
2024,35000.0,Blue,2195000
2024,20000.0,White,2250000
2024,26750.0,White,2300000
2025,12000.0,White,2495000
2024,42300.0,White,2110000
2025,40000.0,White,2210000
2025,9000.0,White,2400000
2024,25000.0,Black,2340000
2024,25000.0,White,2230000
2025,24000.0,Black,2280000
2024,29800.0,White,2240000
2025,31000.0,White,2240000
2024,66000.0,White,2089000
2024,29000.0,White,2265555
2024,9700.0,Black,2370000
2024,60000.0,White,2250000
2024,9000.0,White,2450000
2024,18000.0,White,2270000
2024,39000.0,Blue,2350000
2024,45000.0,White,2125000
2024,41300.0,White,2199000
2025,33000.0,White,2215000
2025,20000.0,White,2370000
2024,11000.0,Black,2525000
